 itr,           flux,              f
   0,    0.000000e+00,   -8.000000e+03
   1,    8.000000e+03,    2.412526e+12
   2,   -2.412526e+12,   -9.652331e+19
   3,    9.652331e+19,    2.910812e+28
   4,   -2.910812e+28,   -1.164594e+36
   5,    1.164594e+36,    3.512016e+44
   6,   -3.512016e+44,   -1.405131e+52
   7,    1.405131e+52,    4.237392e+60
   8,   -4.237392e+60,   -1.695348e+68
   9,    1.695348e+68,    5.112590e+76
  10,   -5.112590e+76,   -2.045508e+84
  11,    2.045508e+84,    6.168551e+92
  12,   -6.168551e+92,  -2.467990e+100
  13,   2.467990e+100,   7.442612e+108
  14,  -7.442612e+108,  -2.977732e+116
  15,   2.977732e+116,   8.979820e+124
  16,  -8.979820e+124,  -3.592757e+132
  17,   3.592757e+132,   1.083453e+141
  18,  -1.083453e+141,  -4.334811e+148
  19,   4.334811e+148,   1.307230e+157
  20,  -1.307230e+157,  -5.230129e+164
  21,   5.230129e+164,   1.577228e+173
  22,  -1.577228e+173,  -6.310367e+180
  23,   6.310367e+180,   1.902990e+189
  24,  -1.902990e+189,  -7.613719e+196
  25,   7.613719e+196,   2.296037e+205
  26,  -2.296037e+205,  -9.186268e+212
  27,   9.186267e+212,   2.770263e+221
  28,  -2.770263e+221,  -1.108361e+229
  29,   1.108361e+229,   3.342438e+237
  30,  -3.342438e+237,  -1.337284e+245
  31,   1.337284e+245,   4.032789e+253
  32,  -4.032789e+253,  -1.613488e+261
  33,   1.613488e+261,   4.865728e+269
  34,  -4.865728e+269,  -1.946740e+277
  35,   1.946740e+277,   5.870702e+285
  36,  -5.870702e+285,  -2.348823e+293
  37,   2.348823e+293,   7.083245e+301
  38,  -7.083245e+301,            -inf
  39,             inf,             inf
  40,             nan,             nan
